,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,train_batch_size,test_batch_size,student,teacher,distillation,transform,dataset,exp_name
0,87.79,93.94,0.039678096472097066,0.41987962096552306,94.398,99.91,0.01559882716197149,0.15568796924465453,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD,T-1","none,",None,KD_normal
1,89.61,93.94,0.011155128001553726,1.3586763626412501,94.688,99.898,0.007300524958087812,0.43858376631270285,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD,T-10","none,",None,KD_normal
2,84.22,93.94,0.00041215243963731006,2.1451330290565007,86.868,99.914,0.0002665434412963693,1.3684713468527245,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD,T-100","none,",None,KD_normal
3,88.62,93.94,0.022255975169518702,1.1188553284995164,94.856,99.92,0.012607094522117807,0.3384541601247495,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD,T-5","none,",None,KD_normal
4,87.52,93.94,0.0009923561703107213,1.7629088548165333,91.282,99.91,0.0006637731826801063,0.8471367248260152,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD,T-50","none,",None,KD_normal
5,89.42,93.94,0.014077054973267302,1.2948860741114314,94.856,99.894,0.009105667552870253,0.40433502367809604,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD,T-8","none,",None,KD_normal
6,88.08,93.94,0.22649940754039377,0.41522830573818353,94.352,99.91,0.08609215765619826,0.15633062610540854,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD_CE,T-1","none,",None,KD_normal
7,88.14,93.94,20.988220558890813,0.41909452178810214,94.65,99.922,7.48970010518418,0.14923359707112202,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD_CE,T-10","none,",None,KD_normal
8,87.4,93.94,2283.002529482298,0.4566003186038778,94.552,99.916,775.1905264305642,0.1550379719423211,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD_CE,T-100","none,",None,KD_normal
9,86.95,93.94,5.55575727360158,0.4423636062235772,94.682,99.902,1.9055710515707656,0.15037800177283908,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD_CE,T-5","none,",None,KD_normal
10,87.38,93.94,538.3192629270916,0.43065281042569803,94.548,99.888,191.249602842209,0.15299787658178593,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD_CE,T-50","none,",None,KD_normal
11,87.69,93.94,14.071006183382831,0.43868651967259903,94.654,99.912,4.910252510434222,0.15249225454371604,50,0.001,False,50,128,128,MobileNet,ResNet101,"KD_CE,T-8","none,",None,KD_normal
12,90.85,93.94,0.03698113052575271,0.40167562569244,98.694,99.892,0.004212920728605241,0.0389708469507506,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD,T-1","none,",None,KD_normal
13,93.09,93.94,0.005186803541676719,0.7572824566896204,98.998,99.906,0.0024823050676842633,0.048198291817811004,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD,T-10","none,",None,KD_normal
14,88.45,93.94,0.00029138396818285126,1.3893853791906863,92.374,99.892,0.00016860047245056956,0.5819321465118766,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD,T-100","none,",None,KD_normal
15,92.65,93.94,0.01204089219740863,0.7324989043836352,98.96,99.894,0.004146295840211232,0.05265377460778846,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD,T-5","none,",None,KD_normal
16,91.19,93.94,0.0005732657493952709,0.9481001352018947,96.9,99.882,0.0003462380002689836,0.180526186481042,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD,T-50","none,",None,KD_normal
17,92.91,93.94,0.006857295768170417,0.7865101921407482,99.016,99.896,0.0031806229092085454,0.04594153696028015,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD,T-8","none,",None,KD_normal
18,92.31,93.94,0.1838728038570549,0.3354505496689036,98.59,99.886,0.023009411984985538,0.041019408674219916,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD_CE,T-1","none,",None,KD_normal
19,91.68,93.94,20.917549851574474,0.4181375893045075,98.768,99.902,1.863828028864263,0.03706731416327912,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD_CE,T-10","none,",None,KD_normal
20,91.11,93.94,2181.074163123022,0.4362147169399865,98.558,99.904,206.14473329236745,0.04122885773934976,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD_CE,T-100","none,",None,KD_normal
21,91.54,93.94,5.29748307602315,0.42299657720553724,98.516,99.912,0.5366710894991218,0.04225401473267342,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD_CE,T-5","none,",None,KD_normal
22,91.88,93.94,490.2539313593997,0.3922017956081825,98.63,99.902,50.530234735640114,0.04042317551772689,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD_CE,T-50","none,",None,KD_normal
23,91.55,93.94,12.795439321783524,0.39952594834037974,98.552,99.902,1.3438760269900112,0.04166030914098729,50,0.001,False,50,128,128,ResNet18,ResNet101,"KD_CE,T-8","none,",None,KD_normal
